crumble	parçalamak, ufalanmak
dense	yoğun
rest	dinlenme
recur	tekrarlamak, nüksetmek
underlying	altta yatan
expense	masraf
miraculous	mucizevi
lunar	ayla ilgili
predisposition	yatkınlık, eğilim
enable	imkân sağlamak
annual	yıllık
steady	istikrarlı, sabit
enormously	olağanüstü bir şekilde
prepared	hazır
coral	mercan
storage	depolama
deficiency	eksiklik
reservoir	baraj gölü, su deposu
endeavour	gayret etmek, çabalamak
prevent	önlemek
event	olay
temporary	geçici
drill	matkap, oymak/delmek
mercury	cıva
involving	içeren
persistency	azim, sebat
nutrient	besin maddesi
gather	toplamak, anlamak
endangered	nesli tükenmekte olan
exceed	aşmak
relativity	görelilik
influential	etkili
patiently	sabırla
prolong	uzatmak
fume	duman
limestone	kireç taşı
ratio	oran
degree	derece
occupy	işgal etmek
conclude	sonuçlandırmak
basin	havza
doubtless	kuşkusuz
hereditary	kalıtımsal
exploit	sömürmek
simply	basitçe
misunderstand	yanlış anlamak
instantly	anında
sedimentation	çökelme
owe	borçlu olmak
disintegration	parçalanma
charge	şarj etmek
copper	bakır
mutual	karşılıklı
article	makale, eşya, nesne
practicable	uygulanabilir
endure	katlanmak
conductivity	iletkenlik
mountainous	dağlık
port	liman
aid	yardım (etmek)
brake	fren
sniff	koklamak
invertebrate	omurgasız
entombment	gömme, gömülme
recurrent	tekrarlayan, nükseden
seemingly	görünüşte
remarkable	kayda değer
intense	yoğun
incorporate	birleştirmek, bütünleştirmek
elasticity	esneklik
removal	ortadan kaldırma, yok etme
survive	hayatta kalmak
duplicate	kopyasını yapmak
indispensable	vazgeçilmez, çok önemli
numerous	sayısız
description	açıklama
faulty	hatalı
attempt	teşebbüs etmek
blanket	battaniye, örtü
attract	çekmek, cezbetmek
outwards	dışa doğru
treatment	tedavi
evidence	kanıt
indicate	işaret etmek, göstermek
search	araştırmak
preparation	hazırlık
discover	keşfetmek
runway	koşu yolu
square	kare, meydan
comparable	karşılaştırılabilir, benzer
greenhouse	sera
spot	yer, nokta; tespit etmek
pure	saf
publication	yayın
prolific	üretken
equipped with	ile donatılmış
proper	uygun, düzgün
yield	ürün vermek, verim, rekolte, boyun eğmek (to)
encourage	teşvik etmek
refinement	arıtma, inceltme
remedy	çare, tedavi
distant	uzak
inhalation	nefes alma
round	yuvarlak
rot	çürük, çürümek
forest	orman
restrict	sınırlamak
entail	gerektirmek, kapsamak
towards	_e doğru
abrasive	aşındırıcı
concerning	ile ilgili
manufacture	imal etmek
occasionally	bazen
digest	sindirmek
reinforce	takviye etmek, güçlendirmek
step	adım
vividly	canlı biçimde
constantly	sürekli olarak
motion	hareket
drought	kuraklık
disagree	aynı fikirde olmamak
reluctant	gönülsüz
investigation	soruşturma
diffuse	yayılmak, dağıtmak
salt	tuz
firm	firma; kesin; sıkı, sert
sand	kum
recessive	çekinik
ore	cevher (maden)
attain	elde etmek, başarmak
pesticide	böcek öldürücü
stem	kök (stem from=den kaynaklanmak)
subsequently	sonradan
threat	tehdit
wheel	tekerlek
obtain	elde etmek
episode	bölüm, vaka, olay
evaporation	buharlaşma
fever	ateş
observatory	gözlemevi
kidney	böbrek
steep	dik
strike	vuruş, vurmak
reach	ulaşmak
effortlessly	zahmetsizce
regularly	düzenli olarak
invention	icat
vibration	titreşim
subdivide	alt bölümlere ayırmak
weathering	hava hadiselerinin verdiği tahribat
flora	bitki örtüsü
refer to	atıfta bulunmak, bahsetmek
prey	av
crack	çatlamak, çatlak
leak	sızmak
pinpoint	kesin olarak belirlemek, saptamak
recognize	tanımak
compartment	bölme
track	izlemek, yol, iz
handle	sap
refrigeration	soğutma
strictly	tamamen, kesinlikle
slender	ince
order	düzen, emretmek, sipariş vermek
whereby	ki bunun aracılığıyla
fabric	kumaş
condensation	yoğunlaşma
process	süreç, işlemden geçirmek
expose to	maruz bırakmak
reclamation	arazi ıslahı, geri kazanma
foam	köpük
shear	kırpmak
suggest	önermek
modification	değiştirme, değişiklik yapma
humid	nemli
distinct	belirgin, farklı
continent	kıta
illustrate	tasvir etmek, resimlemek
especially	özellikle
forecast	tahmin etmek
measurement	ölçüm
burst	patlamak
exhibition	sergi
hesitate	tereddüt etmek
prove	kanıtlamak
convenient	uygun, elverişli
vessel	gemi, damar, kap-kacak
offer	teklif etmek
insufficient	yetersiz
safety	güvenlik
remember	hatırlamak
digestion	sindirim
progress	ilerlemek, ilerleme
waterfall	şelale
intention	niyet
compulsive	kontrolsüz, istem dışı
grind	öğütmek
facility	tesis, kolaylık
tension	gerginlik
identify	tanımlamak
migration	göç
possibility	olasılık
decelerate	yavaşlamak
space	boşluk, uzak
retain	korumak, sürdürmek
stationary	sabit, hareketsiz
downward	aşağı doğru
protection	koruma
uniformly	aynı tarzda, tektip
mount	tırmanmak, binmek, monte etmek
typical	tipik
