understand	anlamak
budget	bütçe
elegant	zarif
poignant	dokunaklı, acıklı
mainly	ağırlıklı olarak
faith	inanç
manufacture	imal etmek
vocational	mesleki
extend	uzatmak
purchase	satın alma
originate from	_den doğmak
disappointment	hayal kırıklığı
stylish	şık, zarif
prefer	tercih etmek
convince of	ikna etmek
act	davranmak
audience	izleyici, dinleyici
sum up	özetlemek
decline	azalmak, kibarca reddetmek
participate in	katılmak
paint	boyamak, boya
resemblance	benzerlik
discovery	keşif
weave	örmek
refreshed	ferahlamış
expense	masraf
occur	olmak, meydana gelmek
income	gelir
rest	dinlenmek
rule	kural, hükmetmek, yönetmek
irrigation	sulama
country	ülke, kırlık arazi
far	uzak
nearly	neredeyse
moreover	dahası
consumer	tüketici
result of	_ın sonucu
practically	pratik bir şekilde, neredeyse
cruel	acımasız, zalim
while	_ken, oysa, _e karşın
alongside	yanında
tribe	kabile
translate to/into	tercüme etmek
inspiration	ilham
denote	işaret etmek
profoundly	derinden
disorder	bozukluk, kargaşa
barricade	barikat
fix	düzeltmek, sabitlemek
represent	temsil etmek
agricultural	tarımsal
mainland	anakara
community	topluluk
decide	karar vermek
talent	yetenek
promotion	tanıtım, terfi
agreement	anlaşma
following	ardından (after)
state	belirtmek, durum, eyalet
however	ancak
evil	kötülük
lift	kaldırmak, asansör
behind	arkasında
scholarship	burs, bilimsellik
bear	taşımak, ürün vermek
including	dahil
investigate	incelemek, araştırmak
corruption	yolsuzluk, yozlaşma
by means of	... aracılığıyla
customer	müşteri
ownership	mülkiyet
definition	tanım
neglect	ihmal etmek
prosperity	refah, zenginlik
several	birkaç
scale	ölçek
receive	almak
feed	beslemek
raise	yükseltmek, artırmak, büyütmek
when	_ınca, _dığı zaman, ne zaman
famous	ünlü
belong to	_e ait olmak
official	resmi; görevli
region	bölge
expert	uzman
pollution	kirlilik
instinct	içgüdü
stream	ırmak, akmak
principle	ilke (principal=okul müdürü)
achieve	başarmak
fairly	oldukça
brand	marka
urbanization	kentleşme
ruler	cetvel, hükümdar
huge	kocaman, devasa
regular	düzenli
concern	ilgilendirmek
emotional	duygusal
date from	_den kalmak, _e dayanmak
subterranean	yeraltı
foreign	yabancı
enforce	uygulatmak (yasa, kanun)
tendency	eğilim
almost	neredeyse
compromise	uzlaşmak
pretty	güzel; oldukça
variation	değişim
simultaneous	aynı anda
matter	madde, mesele
chapter	bölüm
employee	çalışan
choice	seçim
voice	ses, seslendirmek
import	ithalat
reduction	azaltma, indirim
maintain	korumak, sürdürmek, iddia etmek
compile	derlemek
rather	daha ziyade
rival	rakip
importance	önem
customs	gümrük
trivial	önemsiz
sue	dava etmek
fertile	bereketli
firm	firma; sıkı, sert
convict	hüküm giymek
topic	konu başlığı
irregularly	düzensizce
quietness	sessizlik
adequately	yeterince
interest	faiz, ilgi, çıkar
individual	bireysel
acquire	edinmeki kazanmak
startling	çok şaşırtıcı
semi	yarı
quality	kalite
conflict	çatışma
characterize	nitelendirmek, ayırt etmek
result from	_den kaynaklanmak
weakness	zayıflık
waste	boşa harcamak, atık
slightly	birazcık, az
peasant	köylü
already	zaten
distribution	dağıtım
voyage	yolculuk
assert	iddiada bulunmak
come to the fore	öne çıkmak
publish	yayımlamak
survey	anket, tarama
attend to	katılmak
achievement	başarı
humour	mizah
difficult	zor
familiar with	aşina, bilen, tanıdık
exactly	tam olarak
desert	çöl
conviction	mahkumiyet; kanı, kanaat
solely	sadece
circular	dairesel
own	kendi, sahip olmak
fear	korkmak
contrary to	_ın aksine
security	güvenlik
meaning	anlam
revolution	devrim
inhabitant	oturan, sakin
unless	_medikçe, _mezse
improvement	gelişme, iyileşme
sale	satış
urgent	acil
notice	farketmek; uyarı
manner	tarz
member	üye
remarkable	kayda değer
quickly	hızlı bir şekilde
sort	çeşit, tür
advice	tavsiye
express	ifade etmek
secular	laik
wealth	zenginlik
match with	ile eşleşmek
markedly	belirgin bir şekilde
solid	katı
devote to	adamak
object to	itiraz etmek
title	başlık
society	toplum
salary	maaş
picturesque	güzel manzaralı
once	bir zamanlar, bir kez, _ınca
describe	tanımlamak
situate	konumlu olmak
charge with	ile suçlamak
reason	sebep; akıl, akıl yürütmek
documentary	belgesel
arise	ortaya çıkmak
realize	farketmek; gerçekleştirmek
ineffective	etkisiz
comparison	karşılaştırma
behaviour	davranış
background	arka zemin
distinction	ayrım
signify	işaret etmek
extravagant	savurgan, müsrif, abartılı
brilliance	parlaklık
throughout	_boyunca
profit	kâr
contain	içermek
protection	koruma
meanwhile	bu esnada
invalid	geçersiz
prevent from	önlemek
shortage of	... eksikliği
probably	muhtemelen
vary	değişiklik göstermek
hard	zor
rarely	nadiren
indeed	gerçekten de
naturally	doğal olarak
productive	üretken
mistake	hata
combat	dövüşmek
desire	arzu etmek
rainfall	yağış
blow	vurmak, esmek, darbe
provide with/for	sağlamak
freeze	donmak
charm	cazibe, cezbetmek
price	fiyat
genius	dahi
disagree	aynı fikirde olmamak
synonymous	eşanlamlı
restrict	sınırlamak
instead of	_ın yerine
innovation	yenilik
controversial	tartışmalı
nearby	yakınlarda
label	etiket
whereas	oysa, _e karşın
indoor	kapalı mekan
wage	ücret, maaş
belief	inanç
debt	borç
chamber	oda
occupation	meslek; işgal
continent	kıta
replace with	ile yer değiştirmek
explore	keşfetmek, taramak
encourage	teşvik etmek
adopt	benimsemek, evlat edinmek
borrow	ödünç almak
criticism	eleştiri
effective	etkili
poverty	yoksulluk
experience	deneyim, tecrübe etmek
frequently	sık sık
motivate	teşvik etmek
youth	gençlik
unique	benzersiz, eşsiz
chief	şef, baş
surpass	geçmek, aşmak
leading	önde gelen
seek	aramak, araştırmak
violence	şiddet
insignificant	önemsiz
delegate	yetki vermek
opinion	görüş
inadequate	yetersiz
offer	teklif etmek
department	bölüm
junior	genç
point out	işaret etmek
local	yerel
hardly	hemen hemen hiç
logical	mantıksal
depend on	bağlı olmak
destruction	tahribat, imha
poetry	şiirle ilgili (poem=şiir)
exploratory	keşif amaçlı
join in	katılmak
intend	niyet etmek
remind	hatırlatmak
bill	fatura, yasa teklifi,
external	harici, dış
waterway	suyolu
royal	kraliyetle ilgili
guideline	ilke, adım
opportunity	fırsat
area	alan
feature	özellik
